sample,ILC_LumA_T,IDC_LumB_T,IDC_LumA_T,IDC_Basal_T,IDC_Her2_T
KRT9,-6.5064,-9.9658,-6.5064,-1.9942,-6.04
CCL23,-0.8086,-2.2447,-2.2113,-1.5522,-1.7086
PCBD1,6.0799,6.1998,6.1748,5.8515,6.2545
ATP7A,1.7638,1.7657,1.8663,0.9115,1.7178
MSN,6.2624,5.8642,6.2222,7.3486,6.0679
SLC29A3,3.459,3.5887,3.5374,2.5511,2.953
IRX1,1.5115,-1.8575,0.4864,2.0218,-0.9828
NDUFS6,5.5535,5.5311,5.3801,5.6002,5.6688
PRIMPOL,3.0585,2.9838,2.9784,2.5852,2.5864
PCBP4,3.7672,3.4694,3.4977,4.3119,3.9203
SERINC5,3.2473,3.4264,3.4062,2.7379,3.253
HIST1H2BN,-0.4532,0.3629,0.184,0.2522,0.411
ASH2L,4.6227,4.9006,4.7693,4.5754,4.4336
NELFE,5.7024,5.7579,5.6209,6.1538,5.7834
ZDHHC9,4.2366,4.7809,4.4638,4.711,4.6258
TRIB2,4.0136,3.5715,3.7768,4.4719,4.2075
SHTN1,4.6059,4.8089,4.6002,3.7614,4.6907
BCL2L14,-0.2244,-1.6172,-1.1976,0.8647,-0.943
SDS,2.6556,2.863,2.5251,2.3871,2.8397
SLIT1,-4.035,-3.816,-3.816,-3.816,-4.2934
HPF1,3.9649,4.1098,4.0458,4.2526,4.026
GPER1,0.3684,-0.6529,0.2277,-0.8339,-1.1976
ARMC3,-0.3568,-0.0801,-0.4228,-2.3884,-0.6416
VAX2,-0.5756,-0.0956,-0.0878,1.105,0.0636
DLGAP4,5.0195,5.2044,5.1287,5.433,5.3098
CYP24A1,-3.3076,-4.6082,-3.3076,-1.7322,-4.2934
SLC25A14,3.0706,3.2018,3.0654,2.7139,3.0073
CXorf65,-1.4113,-2.0834,-2.3147,-1.4699,-1.4705
IMPDH2,7.0627,7.019,6.9643,6.5884,6.5766
TST,4.1978,4.1647,4.4078,4.2227,4.641
TMEM262,-1.2654,-1.685,-1.7086,-1.5105,-1.8575
CNR1,-1.4902,-3.3828,-2.5479,-2.7274,-2.7274
ABCB8,4.0264,3.9132,3.889,3.5262,3.6142
STYXL1,5.3986,5.4886,5.5282,5.2083,5.3572
GREM2,-0.8342,-2.6349,-1.9942,-3.6259,-2.3903
MYO1H,-3.458,-4.035,-3.816,-1.8314,-3.1092
TMEM127,5.082,5.0128,5.116,4.5217,5.0171
PRR20D,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
TYMS,3.9924,5.1002,4.2374,5.6468,4.843
OR6B2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
BRSK2,-2.5069,-1.2481,-2.0529,-1.5105,-1.2158
CASP5,-3.816,-2.9896,-3.6259,-2.3147,-2.6811
N4BP2L2,5.2348,4.8477,5.166,4.7976,4.5204
FBXO30,1.3454,1.3482,1.4808,1.5612,1.1673
PAX2,-2.2447,-2.3147,-1.4113,-6.5064,-1.9954
GLDN,-0.3846,-1.4113,-0.8339,-2.2447,-1.3927
RNF122,2.103,1.7596,1.9749,2.5876,2.2901
ZNF705A,-8.2361,-9.9658,-6.5064,-9.9658,-9.9658
NIT1,4.9172,4.9207,4.8716,4.6381,4.7643
OR2AK2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
SERPINA5,3.9298,4.594,4.5176,-0.0277,0.7548
KAAG1,-4.6082,-5.0116,-4.6082,-5.0116,-9.9658
DERL2,5.3358,5.452,5.453,5.4532,5.5488
POU1F1,-9.9658,-6.5064,-6.5064,-9.9658,-9.9658
MCHR2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
CLEC1A,1.0222,-0.2159,0.2642,0.2277,0.0014
CD52,5.6783,4.936,4.9921,5.5659,5.7369
ADGRA2,3.4358,1.9545,2.7238,1.8683,2.0946
SAMD13,-0.5864,-1.041,-0.4719,-0.1345,-0.423
ZNF385D,1.3134,-0.0132,0.8528,0.1257,0.0717
MARCH2,4.8802,4.2728,4.6236,4.2142,4.3841
TFE3,4.2476,4.1732,4.2335,4.2781,4.124
COPE,6.8761,6.811,6.7496,6.9037,6.884
MGAT1,5.897,5.5331,5.6011,5.6702,5.6948
PDE1B,1.595,0.605,1.0079,0.4761,0.7186
PLCZ1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
LRRC36,-1.2481,-1.7566,-1.4699,-2.6349,-1.5105
ACADS,3.528,2.6254,2.8502,2.4386,2.1162
SUPT5H,5.5401,5.3397,5.3532,6.0345,5.5062
LIG3,3.7724,4.0436,3.9742,3.6961,3.6098
DPF2,4.9381,4.9477,4.9913,5.0635,4.8089
DEFB110,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
HNRNPM,6.7056,6.7682,6.652,6.7016,6.702
CCT2,6.1984,6.8219,6.4859,6.5702,6.6077
CDK11B,4.2095,3.9769,4.1094,4.1466,4.1347
CFHR3,-3.458,-3.3076,-3.458,-3.816,-2.9324
IFITM10,1.7572,0.9342,0.997,2.0673,0.7406
LAMA3,3.1104,2.4195,3.387,1.7403,1.4258
TMEM161B,2.7128,2.7106,2.6613,1.7532,2.011
PRSS46,-5.2926,-6.04,-5.5735,-5.0116,-9.9658
PIK3CD,1.8723,0.8766,1.1992,2.0111,1.334
IGIP,2.1972,1.6785,2.1114,0.9268,1.2653
TXN2,5.9253,5.8454,5.7868,5.8756,6.0279
TMEM169,-2.0236,-1.5736,-1.7322,-1.5105,-2.1779
MAP2K3,4.3202,4.1264,4.208,4.741,4.5448
TCF25,5.5988,5.5554,5.5147,5.9122,5.8478
CHST1,1.5316,1.6558,1.7702,0.5666,2.0312
ELF3,7.3266,6.7326,6.847,7.3133,6.7409
CD99,7.4985,7.1208,7.3858,7.0246,7.8067
UCP2,7.105,6.7193,6.4502,6.2517,7.484
MYT1,-2.8262,-1.6422,-1.6394,-4.6082,-4.4508
RABL3,3.7066,3.8244,3.756,2.828,3.5534
GOLGA5,4.9122,5.0715,5.0007,4.6053,5.1365
C7orf33,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
TMEM67,2.296,2.7562,2.4359,1.9415,1.8516
PDLIM2,5.3416,4.2168,4.701,4.774,4.3626
ARPC2,7.2606,7.3452,7.2348,7.624,7.4952
ITPRIP,3.1176,2.1988,2.6337,3.1095,2.6613
MAPKAPK2,6.3602,6.3904,6.462,6.1117,6.013
PGLYRP3,-9.9658,-9.9658,-9.9658,-4.6082,-9.9658
C8orf4,4.7434,3.433,4.9735,2.8402,3.4416
MBD3L1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
C4orf46,1.6898,2.069,1.7228,2.1894,1.9282
FRMD3,0.1962,-0.7836,-0.1746,1.4704,-0.9409
PHGR1,0.4552,-0.0801,1.0495,-9.9658,-3.9255
CA5A,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
EMCN,3.5123,1.9358,2.7752,1.7786,2.2222
SIGMAR1,5.0741,5.3596,5.1857,5.916,5.3249
OR5M10,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
VAMP7,4.3313,4.6098,4.4542,4.4951,4.6454
BGN,8.4637,7.8084,8.3178,7.8782,8.0575
OR51I1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
THOC5,3.5066,3.3647,3.3228,4.182,3.6355
FOXP3,0.8568,1.0256,0.5617,1.5758,1.5902
THEM5,-2.6349,-3.3076,-3.1092,-2.0529,-2.9896
OR5AU1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
DTX3L,4.0154,4.5001,4.2281,4.1652,3.9814
OSGIN2,3.2974,4.0366,3.5827,3.8827,3.5785
C11orf84,3.1916,3.3724,3.1986,3.9645,3.7866
PAH,-2.0529,-1.9942,-1.5951,-3.3076,-4.2934
HEATR5B,3.0261,2.9497,3.0083,2.5213,2.7847
SCN3B,-1.7566,-4.035,-2.7768,-3.458,-3.1092
BAIAP3,1.8057,1.7229,2.2528,-1.0559,0.4563
OR10S1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ZNF473,1.7891,2.0552,1.8722,2.1574,1.9111
TNNI3K,-0.8863,-1.9942,-1.3005,-2.3884,-2.6349
ZNF791,2.8259,2.6884,2.8189,2.5707,2.5642
AKAP13,4.5946,3.9194,4.3866,4.2541,4.1856
TFDP3,-1.7566,-3.6259,-2.7274,-4.6082,-2.4659
CMPK2,1.8282,2.7182,1.9932,3.0092,2.2782
ADAMTS16,1.0326,-0.5023,0.745,-1.2142,-0.2285
KCNE1B,-2.9324,-5.5735,-4.035,-4.6082,-6.04
C4BPA,-3.0469,-6.5064,-4.035,-3.3076,-4.6082
DPP10,-6.5064,-9.9658,-6.5064,-6.5064,-5.2926
LPIN1,2.1782,2.0483,2.0844,3.7582,2.694
ABCA9,0.1712,-1.8846,-0.9132,-2.4659,-1.6858
GOLT1A,3.2728,3.002,2.5695,2.5036,2.6322
NRG2,-1.3014,-3.542,-2.4659,-0.1828,-2.2447
CAMSAP1,2.6441,2.651,2.5936,2.7889,2.8552
TMEM257,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
TSHZ2,2.2222,0.7832,1.473,0.8164,1.0185
CBLC,3.7061,3.1376,3.5306,3.4424,2.2339
HDAC5,4.5991,4.1659,4.3828,4.5085,3.4849
FOXC1,1.2209,-0.4921,0.7013,4.7115,-0.0058
GAS1,3.4224,2.3337,3.0774,3.3364,2.6285
HMMR,1.4441,3.0454,2.02,3.0619,2.847
LRRIQ1,-1.4113,-1.5736,-1.3005,-2.114,-2.0834
CRTC3,3.7888,3.373,3.7384,3.3563,3.1698
ASMTL,4.3698,3.5155,4.1023,3.5022,3.6134
SLC17A9,0.7832,1.1147,1.1544,1.2023,0.6424
DNASE1,2.4908,2.8085,2.5995,1.8036,2.6937
BICD1,2.1573,1.886,1.9675,2.7465,1.7489
SNX8,4.3558,4.4317,4.3068,5.0339,4.547
KRT15,5.4954,2.8766,4.8061,6.5656,3.6876
MERTK,1.6718,1.3901,1.2636,1.766,1.2023
LRP4,0.3403,-0.394,0.0229,-0.5125,-0.3112
LIMS3,-2.2113,-2.1263,-1.7086,-2.114,-0.9132
TBCB,6.4662,6.431,6.5379,6.9601,6.3226
MYO1F,2.6567,1.9729,2.0271,2.4144,2.4386
SIDT2,4.1966,3.9045,4.1982,3.5572,3.7389
PDZRN4,-1.8575,-3.1092,-1.8846,-4.035,-2.7274
C1QL2,-4.6082,-9.9658,-6.5064,-1.6394,-6.5064
CCDC153,0.3627,-0.4228,0.0086,-1.1811,-0.9828
GALNT9,-5.0116,-6.5064,-5.5735,-6.5064,-6.5064
WBP2NL,-0.7108,-0.8731,-0.8863,-0.8339,-1.3734
TOMM22,5.2815,5.4208,5.1956,5.7634,5.4957
PROZ,-3.6259,-3.816,-4.1642,-4.6082,-4.4508
ANKRD53,-1.0862,-2.7274,-1.7322,-1.3183,-2.3147
SCFD1,5.0858,5.375,5.236,5.0709,5.2517
TFB1M,2.8552,2.8878,2.8974,2.8955,2.7486
VPS4A,4.1019,4.235,4.1792,4.5217,4.3548
NUP160,3.3513,3.6294,3.5478,3.992,3.387
BCAR1,4.0344,3.861,4.1103,3.9819,4.2082
IMPA2,3.8536,3.9668,3.5136,5.5339,3.791
MMP3,2.9838,1.7526,2.3106,1.9786,2.882
LEPROT,4.917,4.5862,4.8939,4.5583,4.3903
GPR158,-3.9255,-2.8262,-3.816,-0.6416,-2.3516
DDX54,4.9903,4.847,4.794,4.7898,4.8279
USP43,1.015,0.6562,0.9752,1.4756,0.9752
ANK3,4.1808,3.8501,4.0488,3.7909,4.3516
PROSC,4.4647,4.8834,4.7416,4.3364,4.2854
AMELX,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
SCNN1G,-0.5438,0.647,-0.1746,0.2029,-2.2797
VEZT,4.726,5.1188,4.9633,4.2412,4.8129
AS3MT,2.4196,2.6406,2.5138,2.2513,0.7083
BLCAP,5.368,5.3276,5.2836,4.9218,5.0516
RSPH6A,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658
MUTYH,2.8905,2.8592,2.6418,3.5136,2.7742
AP4B1,2.8896,2.7433,2.6873,3.0774,2.6394
TROAP,2.0615,3.8615,2.4883,4.1684,3.858
MICU2,4.7312,4.5482,4.8452,4.1883,4.3962
RPF2,3.7154,3.9956,3.7982,4.6224,4.2147
NDUFA10,6.2777,6.0586,6.109,5.8657,6.056
OTUD3,1.1349,0.9679,0.9826,1.0007,0.6425
KRT6C,-5.5735,-9.9658,-4.6082,-1.7322,-4.4508
DNAJC25,2.2345,2.2482,2.312,1.8879,1.962
POU3F3,-6.5064,-9.9658,-6.5064,-6.5064,-9.9658
ZNF17,1.7381,1.5806,1.658,1.3225,1.3283
LRRC55,-1.8314,-3.1714,-2.3147,-2.3147,-2.7274
MGAT5B,-1.8836,-2.4659,-2.3884,-1.9942,-0.6304
TRAPPC11,3.6612,3.7416,3.7088,3.2707,3.3972
EIF5A,7.8428,8.1635,7.9881,8.6533,8.1354
MED28,4.7709,4.5796,4.7195,4.6815,4.1883
CPS1,-0.2415,-0.9971,-0.5973,-1.3921,-0.8599
GPATCH11,1.8683,1.9452,1.8404,1.692,1.8976
PTGER1,-4.2934,-5.5735,-5.0116,-5.0116,-5.5735
DCHS2,-3.0469,-4.6082,-3.6259,-1.0262,-4.2934
STARD3,4.9387,4.9574,4.7394,4.423,7.4815
CNOT1,5.9054,6.3226,6.1087,6.7103,6.4483
TSPYL4,3.2197,3.1045,3.2662,2.6371,3.3682
USP20,3.7539,3.1434,3.3199,3.1028,3.4772
GALE,4.352,4.9252,4.8289,4.3667,5.1704
KCTD1,4.4118,3.9838,4.3144,4.2541,4.1343
AP4S1,1.8624,1.8584,1.8242,1.3567,2.0018
SNAP23,5.0782,4.8802,5.1104,4.3342,4.9532
ENPP6,-2.5069,-4.035,-3.0469,-1.7322,-3.816
CFAP157,0.5519,0.2338,0.4709,-0.9132,-0.1746
NUDT13,0.45,0.2153,0.3288,-0.2845,-0.1994
ANAPC7,4.9043,5.073,4.804,4.7804,4.9286
NDUFC2,7.6483,7.5892,7.5364,7.4571,7.6875
GKN1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ADRA2B,-1.9379,-2.7274,-2.7274,-1.2142,-3.0469
LGALSL,2.487,2.5995,2.4636,3.3717,2.4958
MST1R,3.2411,3.1407,3.1804,3.0199,3.4456
DCT,-4.4508,-6.5064,-5.5735,-4.6082,-6.5064
DDX10,3.4732,3.7144,3.6514,4.0748,3.4304
ITGB6,3.2342,2.6428,3.5509,3.5349,4.979
OR51T1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
PRRT3,2.4452,2.6185,2.3408,0.03,1.4934
ZBTB18,5.1785,3.3328,3.8571,3.1717,2.831
EIF4G3,3.8939,4.0104,4.1252,3.4517,3.9251
SMURF2,2.8371,3.0559,2.9664,3.5559,3.1693
LYPD8,-4.2934,-4.035,-4.4508,-4.6082,-4.6082
GCA,3.8526,4.0051,3.7746,3.9012,4.0148
RPS6KB2,4.5208,4.6218,4.3817,4.889,4.9493
EBLN2,-1.1172,-1.4305,-1.3548,-1.7809,-1.5105
PRPF18,3.6503,3.6623,3.6236,4.0884,3.6416
ECT2,3.4176,4.6291,3.6451,4.4156,4.3082
PAX1,-4.6082,-4.6082,-3.6259,-4.2934,-2.7274
TRIM35,2.3048,1.6874,2.1329,2.1378,1.736
UST,1.0779,0.3852,0.9752,1.0007,0.9342
PWWP2B,3.2002,2.6771,2.9347,2.7847,3.0632
KCNC4,0.9076,-0.3752,0.2338,1.2333,0.24
RAB3D,4.2234,4.3274,4.1856,3.2692,4.6346
PSMA8,-5.5735,-6.04,-6.5064,-5.5735,-6.04
ALB,-0.4526,-1.1815,-0.7467,-1.7809,-1.5528
CFAP46,0.3173,-1.3941,0.1966,-5.0116,-3.3147
SNRPD1,5.6454,6.1734,5.9259,6.8296,6.102
MPP2,1.3928,1.4441,1.3735,-0.7346,-0.622
CTNS,2.6173,2.5695,2.5719,2.5061,2.4144
GSG1L2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ZIC2,-2.5069,-1.6858,-3.0469,-4.6082,-0.8745
FAM25E,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
IBSP,-2.0834,0.2762,-0.1187,0.0718,0.5018
LYSMD4,1.4147,0.6969,0.9268,1.2934,0.8312
ANKLE2,4.444,4.4835,4.3813,4.4088,4.3406
RIC8A,5.8112,5.7438,5.712,5.4813,5.4844
GDNF,-4.6082,-3.816,-3.816,-4.2934,-3.816
C4orf36,1.9986,1.4962,1.8524,1.0433,1.0812
CD72,1.2636,1.1704,0.8765,1.7954,1.3763
HSD17B6,1.436,2.1296,2.0289,1.5612,2.0464
ZNF808,2.1164,2.2237,2.0707,1.7617,2.0672
VKORC1L1,3.7635,3.9501,3.7982,3.9956,3.8426
TINAGL1,4.2006,2.2706,3.5742,4.6804,3.4826
NCR3,-1.0116,-2.0529,-2.0529,-0.8599,-1.3921
PFKFB2,1.9032,2.2678,2.0672,2.2573,2.2144
PCNX1,2.8936,2.6556,2.7412,2.7763,2.7411
PTPRD,-0.5131,-0.1425,0.294,-0.6193,-0.0801
BRD9,4.082,3.8764,3.8822,4.1178,3.5857
SCAI,0.7058,0.745,0.5859,0.5666,0.4232
CEACAM21,0.1966,-0.2934,-0.3112,0.1903,0.3959
TNNC2,-1.3183,-1.3005,-1.5951,-1.1172,-1.4113
CMTR1,3.9598,4.0768,3.8774,4.0091,3.8018
CCDC148,-0.0204,-0.0878,0.0014,-1.4699,-0.8348
DENND4A,2.3062,2.3746,2.4439,2.081,2.131
LCE3B,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
AGPAT3,4.516,4.6182,4.5426,4.3951,4.604
TFDP1,4.9886,5.161,4.9991,5.8485,5.097
ZBTB44,3.3952,3.3104,3.4298,3.3993,3.0859
ATXN7,2.4779,2.3479,2.2498,2.0638,2.1021
SEZ6,-5.0116,-4.8099,-5.0116,-6.5064,-5.5735
LRRTM4,-6.5064,-9.9658,-9.9658,-6.5064,-9.9658
STYX,2.7466,2.9262,2.7128,2.5731,2.8412
CRISP1,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658
NAA35,3.325,3.4102,3.3717,3.2282,3.4784
FBN2,-1.1488,-0.7711,-0.7588,-1.1172,-0.2845
MGMT,4.2725,3.9506,4.0816,3.6393,3.7523
ISLR,6.193,5.6326,6.1938,5.5062,5.499
CYHR1,5.3411,5.4992,5.2046,5.2597,5.0034
MYLK,4.7921,3.7672,4.7298,4.7872,4.3386
ARHGDIG,-1.8062,-1.2662,-1.7809,-2.1779,-1.2146
METTL26,5.8591,5.8035,5.9494,5.8066,5.6182
STX16,4.0653,4.2567,4.0091,4.061,3.9204
PNPLA4,4.3628,4.2204,4.4745,3.0706,3.917
ADAMTS20,-6.5064,-6.5064,-6.5064,-9.9658,-6.5064
ZNF233,0.1648,0.2029,0.2154,-0.4921,-0.5237
SRRT,5.68,5.5189,5.4084,5.658,5.3178
WRAP73,3.559,3.5724,3.4358,3.7324,3.4523
MYL1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
SRP68,5.2926,5.6104,5.4022,5.5838,5.4422
GTF3C1,5.17,5.286,5.2418,4.8079,5.1809
CLIP2,1.9675,1.4335,1.8663,2.2573,1.628
TRIM49B,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
C10orf128,2.8779,1.5685,1.8723,1.8484,1.7282
LRMP,1.3874,0.3738,0.6192,0.7233,0.7361
MAP3K14,2.6418,1.6351,1.9675,2.2753,1.7762
OR52N5,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
MTRNR2L7,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ZNF235,0.9935,0.9568,0.8286,0.8805,0.9456
DEPDC5,2.3926,2.1638,2.0586,2.1638,2.0518
P2RY6,0.8883,1.1084,0.7058,1.9712,1.943
CCDC141,-2.9324,-3.816,-3.6259,-3.458,-3.1092
ITCH,3.4569,3.8471,3.7127,3.5596,3.4993
CENPT,3.3292,3.1507,3.1079,3.6543,3.2511
AGAP6,2.4517,1.9034,1.913,2.1862,1.7744
CNNM1,-3.816,-5.0116,-4.2934,-2.0529,-3.0519
PBX2,4.8662,4.6226,4.7178,4.8197,4.4312
MPHOSPH10,4.0909,4.4317,4.2717,4.728,4.5388
IL37,-9.9658,-9.9658,-9.9658,-4.6082,-9.9658
PPIL3,4.3406,4.2277,4.294,3.9185,4.1871
KANK3,1.2364,-0.6193,0.0297,-0.8599,-0.3952
GRM1,-5.5735,-5.5735,-5.0116,-6.5064,-5.5735
CREG2,-3.2395,-3.2395,-2.9324,-2.8262,-2.6376
SC5D,4.1356,3.959,4.099,3.3379,4.2166
SEC14L4,-6.5064,-6.5064,-6.5064,-2.3147,-6.5064
OR8H3,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
SOX6,-1.8836,-3.1714,-2.5069,0.2998,-2.7274
ANKRD18B,-6.5064,-3.542,-4.2934,-3.816,-6.5064
HTN1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
PRAMEF5,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
FMR1NB,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
NHEJ1,2.3994,2.4922,2.4727,2.8137,2.2723
CAPNS2,-5.0116,-5.5735,-5.0116,-3.6259,-5.0116
TTC17,4.9272,4.8492,4.9423,4.6899,4.3824
KCTD16,-4.6082,-5.5735,-5.0116,-5.5735,-5.5735
BTBD10,3.5899,3.9956,3.8526,3.6113,3.7453
ATR,2.8168,3.011,2.8076,3.2205,2.8887
AHCY,6.3026,6.6557,6.3876,6.7768,6.6258
PLCL1,1.1014,0.5664,1.0007,-0.5543,-0.0504
SLC12A1,-3.9255,-4.2934,-4.6082,-2.9324,-0.5782
ZMYND19,3.8008,3.8551,3.6765,4.0858,4.1962
MEST,4.4047,4.5128,4.0837,4.0287,4.313
CHERP,4.1724,4.0162,4.0318,4.3169,3.8435
ATP6AP1,6.9148,7.262,7.2574,6.4586,7.0981
UBE2G2,4.7094,4.7391,4.6468,4.7603,4.5913
ARHGEF9,2.909,2.8024,2.8341,3.9515,2.8671
CNRIP1,2.8381,1.8077,2.4198,1.5806,2.0617
MED27,3.6154,3.676,3.5869,3.8411,3.984
C19orf71,-0.1748,-1.0862,-1.1017,-0.9686,-1.3927
BNIP3,3.918,4.401,4.1207,4.2714,4.8291
NUTM1,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658
EPS15L1,4.3198,4.2698,4.2994,3.8601,3.5614
ZNF324,2.069,1.7294,1.949,1.6234,1.6625
CCDC102A,2.1427,1.2302,1.8242,2.651,1.3676
RFTN2,0.605,-0.3022,0.2702,-0.4521,-0.0067
PGAM1,6.7694,7.1094,6.878,7.1129,7.2811
PODXL,4.2921,3.7432,4.3512,4.7929,3.9468
ATP6V0E2,5.489,5.3923,5.26,4.9486,5.2938
WDR13,5.7289,5.2331,5.4488,5.6329,5.539
AQP2,-6.5064,-9.9658,-9.9658,-6.5064,-6.5064
IL2RB,1.7681,1.4466,1.1928,1.9822,1.9349
SEMA3A,-1.2142,-1.5314,-1.2828,-1.5522,-1.3365
JADE3,2.8351,2.8148,3.0172,2.8936,2.8034
MED13,3.0978,3.6101,3.4576,2.9507,3.489
PDGFRL,4.1065,2.9421,3.66,2.609,3.2048
TSSC4,4.6215,4.2227,4.2925,4.2601,4.324
MAGOHB,4.2142,4.6482,4.4104,5.3445,4.6159
STK36,3.9237,3.749,3.7836,2.7594,3.2266
OXA1L,6.0838,6.2292,6.0193,5.7592,6.198
MTMR8,-1.8314,-2.2797,-2.114,-0.9686,-2.3516
ZNF671,2.0218,0.945,1.7163,0.0158,0.8883
FAM25C,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
DSC3,0.6188,-2.5479,0.1776,2.6579,-1.3138
HOXC4,2.348,2.4752,2.1574,0.9038,1.5026
ACTL8,-5.5735,-3.1092,-4.2934,0.058,-2.4064
DUOX2,-3.458,-5.5735,-4.035,-2.6349,-4.4508
TMEM144,3.2937,3.2188,3.3471,1.5709,2.4488
ZSWIM3,0.8686,1.2023,0.997,1.0573,1.4147
APTX,4.3841,4.4906,4.4047,4.4615,4.3024
SLC26A10,-0.9828,-1.685,-1.5314,-1.1488,-1.9379
KDELR1,7.1004,7.1612,7.189,7.079,7.212
PRKCE,1.6535,1.0983,1.3929,1.0433,0.678
IDE,3.2886,3.7356,3.5815,3.1765,3.7188
C11orf49,4.3597,4.3927,4.436,4.0216,3.929
FAP,4.9407,4.4233,4.9208,3.6872,4.6212
NUP155,3.1693,3.747,3.2908,3.8798,3.6748
PRDM16,-2.0529,-3.6259,-3.0469,-3.3076,-2.114
GTF2F1,5.3599,4.9484,5.1845,4.6793,4.8522
OCLN,3.7986,4.2906,4.2491,3.4088,3.7138
TMEM208,5.1094,5.3958,5.3502,5.6988,5.7981
OGFR,4.5367,4.2586,4.2465,4.2258,4.3295
UGT2A3,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
TARS2,4.4287,4.554,4.3844,4.3576,4.1273
RELA,5.276,5.1785,5.2436,5.3534,5.0412
DDHD2,3.9261,4.2799,4.1342,4.1587,3.641
TMEM117,1.0982,0.7874,1.0186,1.5563,0.4964
AFDN,4.8919,4.9479,5.0293,5.0934,4.4996
PSMD4,7.0422,7.2683,7.0712,7.4278,7.0268
ZNF782,0.745,0.6192,0.7407,0.099,0.4709
PLXNA2,1.4704,0.6002,1.2696,1.8242,1.0433
YAE1D1,3.7582,3.8218,3.7841,3.7836,3.7846
POLR3A,2.3451,2.6196,2.4144,2.4117,2.395
AREL1,3.0986,3.1652,3.0876,3.2405,3.3066
OR4D2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
NR1D2,3.4203,3.3828,3.38,3.2374,2.9572
C4A,8.4645,7.3625,8.3625,4.5952,6.7898
DBF4B,1.5636,1.7723,1.308,1.736,0.9679
DYRK1A,4.1065,4.225,4.2518,4.1547,4.1947
KCND1,-0.191,-1.1488,-0.7588,-0.6193,-0.699
IL11RA,2.9894,1.766,2.1718,2.0254,1.6874
ANKRD28,3.9724,4.0636,4.0436,3.8095,3.6804
KCTD7,1.8702,1.5266,1.6116,1.5661,1.2392
HIGD1C,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
HSPA1B,6.8504,7.1973,7.152,7.2387,6.9312
CILP2,2.2406,0.9605,1.7316,0.2154,0.953
DERL3,3.7367,3.4257,3.309,4.0515,3.9552
SPRED3,-0.2076,-0.7959,-0.3383,-1.0559,-0.7836
GLE1,3.9594,4.4287,4.2377,3.7836,4.1898
TMEM171,-3.0469,-3.0469,-3.3076,-0.5125,-2.4272
PNPLA8,3.5881,3.6877,3.8501,3.506,3.6334
CEP112,1.7119,0.9789,1.412,1.2576,1.1511
MKRN2OS,0.7874,0.4709,0.9971,-1.9379,0.5761
HCK,2.9404,2.6266,2.6359,3.3177,2.8589
MTRNR2L6,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
CER1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
SPACA5B,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
TEAD3,3.771,3.5155,3.5785,4.0799,3.8738
CYP17A1,-3.3076,-4.035,-4.035,-5.5735,-4.6082
CTSL,5.67,6.1608,5.8408,6.304,6.3279
STEAP3,3.5085,3.2434,3.2804,4.5423,3.7122
FAM231A,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
MLH3,3.3682,3.2736,3.2952,2.9205,3.085
ILKAP,4.2434,4.0623,3.9584,4.1219,4.0972
RNF19A,4.5098,4.6485,4.4354,4.8213,4.6381
EMID1,2.3308,1.8404,1.3707,1.8564,0.8759
