sample,IDC_Her2,IDC_Basal,IDC_LumA,IDC_LumB,ILC_LumA
C16orf96,0.0,0.0,0.0,0.0,0.0
ZKSCAN5,1.0,1.0,1.0,1.0,1.0
CXXC1,1.0,1.0,1.0,1.0,1.0
SPHKAP,0.0,0.112,0.0,0.0,0.0
ATF4,1.0,1.0,1.0,1.0,1.0
SLC4A7,1.0,0.972,1.0,0.992,1.0
OR10J3,0.0,0.0,0.0,0.0,0.0
CT47A2,0.0,0.0,0.0,0.0,0.0
ZFYVE27,1.0,1.0,1.0,1.0,1.0
RAC1,1.0,1.0,1.0,1.0,1.0
KBTBD12,0.04,0.206,0.0,0.008,0.0
SCGB3A2,0.04,0.131,0.066,0.008,0.019
RPS18,1.0,1.0,1.0,1.0,1.0
ESAM,1.0,1.0,1.0,1.0,1.0
TRIP4,1.0,1.0,1.0,1.0,1.0
RPL10A,1.0,1.0,1.0,1.0,1.0
YPEL3,1.0,1.0,1.0,1.0,1.0
OR10K1,0.0,0.0,0.0,0.0,0.0
NARF,1.0,1.0,1.0,1.0,1.0
FAM221B,0.04,0.0,0.0,0.016,0.019
IL27,0.02,0.019,0.0,0.025,0.0
MYCBP2,1.0,1.0,1.0,1.0,1.0
SH2B1,1.0,1.0,1.0,1.0,1.0
PLEKHS1,0.92,0.907,0.889,0.844,0.943
NOM1,1.0,1.0,1.0,1.0,1.0
KEAP1,1.0,1.0,1.0,1.0,1.0
WNT4,0.42,0.579,0.843,0.656,0.849
ABLIM2,0.48,0.71,0.843,0.648,0.953
ROCK1,1.0,1.0,1.0,0.992,1.0
NUTF2,1.0,1.0,1.0,1.0,1.0
FBXO11,1.0,1.0,1.0,1.0,1.0
NR1H4,0.02,0.009,0.0,0.008,0.0
OR2C1,0.0,0.0,0.0,0.0,0.009
SASH1,1.0,0.981,1.0,0.967,1.0
ETNK2,0.98,0.963,1.0,1.0,1.0
FLT3,0.22,0.103,0.556,0.336,0.594
CENPBD1,1.0,0.991,0.995,1.0,1.0
IL13RA1,1.0,1.0,1.0,1.0,1.0
PPFIA4,0.24,0.505,0.258,0.287,0.264
NXPE3,0.98,1.0,0.995,0.992,1.0
DAZL,0.0,0.019,0.0,0.0,0.009
C17orf49,1.0,1.0,1.0,1.0,1.0
FIG4,1.0,1.0,1.0,1.0,1.0
ERMAP,1.0,0.991,1.0,0.992,1.0
UBXN1,1.0,1.0,1.0,1.0,1.0
C15orf52,0.88,0.991,0.894,0.787,0.962
SLC34A1,0.0,0.0,0.0,0.0,0.0
CHCHD10,1.0,1.0,1.0,1.0,1.0
PDE4C,0.0,0.037,0.0,0.033,0.0
SLC26A1,0.5,0.243,0.747,0.738,0.84
TMEM220,0.48,0.832,0.707,0.484,0.943
DKK1,0.68,0.636,0.328,0.311,0.321
ZNF155,0.98,0.944,0.98,0.959,1.0
SNRK,1.0,1.0,1.0,1.0,1.0
SEC31B,0.44,0.57,0.621,0.525,0.868
FKBP2,1.0,1.0,1.0,1.0,1.0
VCP,1.0,1.0,1.0,1.0,1.0
SPON2,1.0,1.0,1.0,1.0,1.0
MT1H,0.28,0.636,0.081,0.221,0.075
OR5AP2,0.0,0.0,0.0,0.0,0.0
PLCL2,0.7,0.785,0.808,0.746,0.896
BRD4,1.0,1.0,1.0,1.0,1.0
INPP5A,1.0,1.0,1.0,1.0,1.0
TBC1D1,1.0,1.0,1.0,1.0,1.0
ARL4C,1.0,1.0,1.0,1.0,1.0
TP53TG3D,0.1,0.075,0.126,0.107,0.132
PDE10A,0.38,0.178,0.263,0.18,0.311
EMC3,1.0,1.0,1.0,1.0,1.0
SUMO1,1.0,1.0,1.0,1.0,1.0
LDB2,1.0,0.944,1.0,1.0,1.0
ARHGAP11A,0.98,1.0,0.939,1.0,0.877
CAPS2,0.76,0.692,0.939,0.959,0.991
ZNF117,0.96,0.972,1.0,0.951,0.991
CRB2,0.0,0.0,0.005,0.008,0.0
SHISA2,0.78,0.514,0.884,0.787,0.915
PEX7,1.0,1.0,1.0,1.0,1.0
PIK3CG,0.5,0.383,0.409,0.402,0.557
TMEM192,1.0,0.981,1.0,1.0,1.0
POU2F3,0.8,0.897,0.909,0.844,0.887
CSNK1A1L,0.0,0.0,0.0,0.0,0.0
PRKCZ,1.0,0.991,1.0,1.0,1.0
GLI2,0.06,0.206,0.253,0.041,0.557
ATAD2,1.0,1.0,1.0,1.0,1.0
METTL10,1.0,1.0,1.0,1.0,1.0
AGTRAP,1.0,1.0,1.0,1.0,1.0
OSBP,1.0,1.0,1.0,1.0,1.0
STAC,0.08,0.776,0.056,0.041,0.113
TMEM114,0.02,0.0,0.0,0.0,0.009
ZDHHC24,1.0,1.0,1.0,1.0,1.0
KRTAP6-2,0.0,0.0,0.0,0.008,0.0
SLC25A18,0.56,0.019,0.116,0.205,0.236
SULT2A1,0.0,0.0,0.0,0.0,0.0
HIST1H2AH,0.0,0.234,0.015,0.008,0.009
C4orf32,0.78,0.561,0.995,0.992,1.0
GFM2,1.0,1.0,1.0,1.0,1.0
SUMF1,1.0,1.0,1.0,1.0,1.0
FBN3,0.04,0.579,0.015,0.049,0.009
ESR1,0.58,0.449,1.0,1.0,1.0
PDZD9,0.0,0.0,0.005,0.0,0.0
MTG2,1.0,1.0,1.0,1.0,1.0
THEGL,0.0,0.0,0.0,0.0,0.0
SALL4,0.36,0.271,0.303,0.328,0.283
OR10J4,0.0,0.0,0.0,0.0,0.0
DMGDH,0.08,0.112,0.131,0.082,0.264
KLF7,0.96,0.953,0.99,0.918,0.981
ISM1,0.86,0.794,0.934,0.762,0.953
SIRPB1,0.7,0.626,0.374,0.582,0.481
NCALD,1.0,0.991,1.0,1.0,1.0
GOT1,1.0,1.0,1.0,1.0,1.0
MB21D2,0.9,0.935,0.904,0.811,0.981
LGALS1,1.0,1.0,1.0,1.0,1.0
KLHL31,0.06,0.028,0.04,0.016,0.085
SMTNL1,0.02,0.028,0.0,0.025,0.0
MAN2B1,1.0,1.0,1.0,1.0,1.0
ZNF860,0.78,0.411,0.768,0.73,0.774
SEZ6L,0.04,0.009,0.222,0.205,0.113
KDM4A,1.0,1.0,1.0,1.0,1.0
CLEC4E,0.48,0.738,0.328,0.377,0.547
CHRNA6,0.0,0.0,0.091,0.057,0.16
CDK1,1.0,1.0,0.995,1.0,1.0
YME1L1,1.0,1.0,1.0,1.0,1.0
ERP27,0.92,0.991,0.955,0.877,1.0
GON7,1.0,1.0,1.0,1.0,1.0
TMEM163,0.46,0.439,0.439,0.328,0.472
MAP3K9,0.8,0.71,0.763,0.697,0.745
CRISPLD1,0.62,0.953,0.924,0.73,0.953
KLF12,0.86,0.804,0.884,0.705,0.896
OPRK1,0.02,0.206,0.0,0.016,0.0
CEP104,1.0,1.0,1.0,1.0,1.0
PVALB,0.48,0.065,0.571,0.582,0.623
RPRD2,1.0,1.0,1.0,1.0,1.0
ACYP2,1.0,1.0,1.0,1.0,1.0
NKD2,0.9,0.729,0.939,0.852,0.953
KIAA0930,1.0,1.0,1.0,1.0,1.0
MEMO1,1.0,1.0,1.0,1.0,1.0
APEX1,1.0,1.0,1.0,1.0,1.0
ZNF555,0.98,0.869,0.965,0.926,0.972
RXRG,0.06,0.009,0.005,0.008,0.028
LFNG,1.0,0.991,1.0,1.0,1.0
XRN1,0.98,1.0,1.0,0.992,0.991
KPNA4,1.0,1.0,1.0,1.0,1.0
C20orf85,0.14,0.0,0.197,0.156,0.066
ZFAND2A,1.0,1.0,1.0,1.0,1.0
HSPD1,1.0,1.0,1.0,1.0,1.0
OCLM,0.0,0.0,0.005,0.0,0.019
AP1G2,1.0,1.0,1.0,1.0,1.0
EIF3L,1.0,1.0,1.0,1.0,1.0
NUDT11,0.12,0.477,0.258,0.139,0.217
VRTN,0.02,0.075,0.0,0.0,0.0
HMGN1,1.0,1.0,1.0,1.0,1.0
PPP1R21,1.0,1.0,1.0,1.0,1.0
FUCA2,1.0,1.0,1.0,1.0,1.0
SPANXN5,0.0,0.0,0.0,0.0,0.0
CYP26B1,0.38,0.636,0.318,0.238,0.575
CXCL11,0.94,0.935,0.778,0.861,0.821
SPTAN1,1.0,1.0,1.0,1.0,1.0
FAM110D,0.3,0.243,0.404,0.107,0.745
PRKAB1,1.0,1.0,1.0,1.0,1.0
RNPS1,1.0,1.0,1.0,1.0,1.0
UQCC1,1.0,1.0,1.0,1.0,1.0
TRPM6,0.0,0.084,0.0,0.0,0.0
LRP8,0.92,0.981,0.747,0.828,0.434
NUBP2,1.0,1.0,1.0,1.0,1.0
PKNOX1,1.0,1.0,1.0,1.0,1.0
GZMK,0.78,0.748,0.717,0.721,0.925
ASPG,0.06,0.121,0.015,0.008,0.019
NLRC5,1.0,1.0,1.0,1.0,1.0
RNF25,1.0,1.0,1.0,1.0,1.0
P4HTM,1.0,1.0,1.0,1.0,1.0
ALOXE3,0.04,0.065,0.152,0.246,0.047
TP53BP1,1.0,1.0,1.0,1.0,1.0
KCNIP1,0.0,0.065,0.01,0.008,0.057
HEATR1,1.0,1.0,1.0,1.0,1.0
AURKC,0.32,0.243,0.222,0.246,0.274
TOMM34,1.0,1.0,1.0,1.0,1.0
KRTAP5-10,0.02,0.028,0.005,0.025,0.028
NPIPA1,1.0,1.0,1.0,1.0,1.0
MPRIP,1.0,1.0,1.0,1.0,1.0
SLC17A3,0.0,0.009,0.005,0.0,0.0
RAG1,0.0,0.028,0.015,0.025,0.009
RIMKLA,0.52,0.084,0.207,0.443,0.075
FAM76A,1.0,1.0,1.0,1.0,1.0
WWTR1,1.0,1.0,1.0,1.0,1.0
ABCB9,0.98,0.981,0.975,0.984,0.981
LTB4R2,0.2,0.178,0.263,0.377,0.547
KNOP1,1.0,1.0,1.0,1.0,1.0
HHIP,0.02,0.019,0.0,0.0,0.009
MRPL23,1.0,1.0,1.0,1.0,1.0
FAM200B,1.0,1.0,1.0,1.0,1.0
CYP4B1,0.84,0.196,0.975,0.91,0.962
SLC25A31,0.0,0.0,0.0,0.0,0.0
LCA5L,0.96,0.664,0.995,0.951,0.972
PMAIP1,0.74,0.991,0.99,0.984,0.991
OR4C13,0.0,0.0,0.0,0.0,0.0
MFN1,1.0,1.0,1.0,1.0,1.0
GINS2,1.0,1.0,0.99,1.0,0.991
DHRS12,1.0,1.0,1.0,1.0,1.0
TOP2B,1.0,1.0,1.0,1.0,1.0
HDAC6,1.0,1.0,1.0,1.0,1.0
PTP4A3,1.0,1.0,1.0,1.0,1.0
RTN1,0.86,0.879,0.944,0.918,0.981
RPAIN,1.0,1.0,1.0,1.0,1.0
TMEM38B,0.96,0.963,0.899,0.869,0.84
SPDYC,0.46,0.271,0.192,0.344,0.028
C10orf82,0.34,0.056,0.641,0.689,0.594
OR4D5,0.0,0.0,0.0,0.0,0.0
MYH6,0.0,0.0,0.0,0.0,0.0
MRPS27,1.0,1.0,1.0,1.0,1.0
OR56A1,0.0,0.0,0.0,0.0,0.0
WDR88,0.0,0.0,0.0,0.0,0.0
TXNDC11,1.0,1.0,1.0,1.0,1.0
CDCA8,1.0,1.0,0.985,1.0,0.991
TLR1,0.96,0.963,0.975,0.934,0.981
BANK1,0.46,0.318,0.237,0.213,0.368
MS4A6E,0.0,0.0,0.01,0.0,0.047
GOSR2,1.0,1.0,1.0,1.0,1.0
CLEC2B,1.0,1.0,1.0,1.0,1.0
ROM1,0.9,0.944,0.97,0.943,0.962
MMP19,1.0,0.972,0.985,0.984,0.991
PSMB8,1.0,1.0,1.0,1.0,1.0
ATP4B,0.0,0.009,0.0,0.0,0.0
MYOCD,0.0,0.0,0.0,0.008,0.028
PSMA4,1.0,1.0,1.0,1.0,1.0
STK11IP,1.0,1.0,1.0,1.0,1.0
RAPH1,1.0,0.991,1.0,0.992,1.0
OIT3,0.0,0.0,0.0,0.0,0.0
CELF4,0.12,0.598,0.045,0.098,0.009
MRPS33,1.0,1.0,1.0,1.0,1.0
SIPA1L1,1.0,1.0,1.0,1.0,1.0
GRK2,1.0,1.0,1.0,1.0,1.0
BRD3,1.0,1.0,1.0,1.0,1.0
FAM64A,0.98,1.0,0.899,1.0,0.849
WFDC9,0.0,0.0,0.0,0.0,0.0
ADAMTS3,0.14,0.318,0.02,0.0,0.009
DHX33,1.0,1.0,1.0,1.0,1.0
DCK,1.0,1.0,1.0,1.0,1.0
ZNF146,1.0,1.0,1.0,1.0,1.0
PIAS1,1.0,1.0,1.0,1.0,1.0
MYPN,0.1,0.009,0.0,0.0,0.009
CHCHD1,1.0,1.0,1.0,1.0,1.0
PRR35,0.0,0.0,0.0,0.0,0.0
PLA2G2E,0.0,0.0,0.0,0.0,0.0
TCP11X1,0.0,0.0,0.0,0.0,0.0
THOC3,1.0,1.0,1.0,1.0,1.0
SPINT3,0.04,0.0,0.0,0.0,0.0
FAM134A,1.0,1.0,1.0,1.0,1.0
OR4K5,0.0,0.0,0.0,0.0,0.0
MESP1,0.58,0.935,0.747,0.705,0.83
ZNF283,0.94,0.981,0.985,0.975,0.962
CRTAC1,0.28,0.271,0.197,0.098,0.368
SV2B,0.0,0.15,0.005,0.016,0.151
MCOLN1,1.0,1.0,0.995,1.0,1.0
HSD17B4,1.0,1.0,1.0,1.0,1.0
AK9,0.94,0.916,0.995,0.959,0.991
APC2,0.0,0.0,0.0,0.033,0.0
GCM2,0.0,0.0,0.0,0.0,0.0
MEOX1,0.36,0.411,0.535,0.303,0.896
VPS36,1.0,1.0,1.0,1.0,1.0
DUSP4,1.0,0.925,0.985,0.984,1.0
PLCXD1,0.98,1.0,0.995,1.0,1.0
C21orf2,1.0,1.0,1.0,0.992,1.0
KRTAP13-4,0.0,0.0,0.0,0.0,0.0
MAGEB3,0.0,0.0,0.0,0.0,0.0
MSGN1,0.0,0.009,0.0,0.0,0.0
FAXDC2,0.96,0.907,0.97,0.918,1.0
ARFGAP1,1.0,1.0,1.0,1.0,1.0
WNT9A,0.72,0.664,0.894,0.811,0.821
THRSP,0.78,0.411,0.778,0.73,0.896
CXorf49B,0.04,0.411,0.005,0.008,0.0
TBC1D12,1.0,0.991,1.0,1.0,1.0
VWA5B2,0.06,0.047,0.086,0.189,0.019
FOLR3,0.0,0.028,0.015,0.008,0.0
TEX14,0.08,0.15,0.217,0.336,0.17
ZNF14,0.98,1.0,0.99,0.967,1.0
KLC4,1.0,1.0,1.0,1.0,1.0
PIGC,1.0,1.0,1.0,1.0,1.0
FBXW12,0.0,0.009,0.0,0.0,0.0
CCDC3,1.0,0.981,0.995,0.959,1.0
NPRL3,1.0,1.0,1.0,1.0,1.0
DDOST,1.0,1.0,1.0,1.0,1.0
SLC5A3,1.0,0.981,0.96,0.975,0.981
S100B,0.64,0.944,0.732,0.475,0.915
TSPAN18,1.0,0.963,0.99,0.967,1.0
PTPMT1,1.0,1.0,1.0,1.0,1.0
LHFPL4,0.0,0.028,0.025,0.041,0.019
KIAA0101,1.0,1.0,1.0,1.0,1.0
SLC2A6,0.86,0.879,0.687,0.779,0.66
IGDCC3,0.08,0.009,0.237,0.27,0.283
VHL,1.0,1.0,1.0,1.0,1.0
ZNF595,0.98,0.981,1.0,1.0,1.0
LARP4,1.0,1.0,1.0,1.0,1.0
IRF4,0.58,0.551,0.192,0.23,0.387
CLEC4A,0.94,0.86,0.944,0.893,1.0
FSCN3,0.0,0.0,0.0,0.0,0.0
TMEM167A,1.0,1.0,1.0,1.0,1.0
SLAMF7,0.96,0.925,0.884,0.918,0.962
NAV2,0.8,0.963,0.894,0.82,0.972
CCL16,0.0,0.0,0.0,0.0,0.0
ACBD5,1.0,1.0,1.0,1.0,1.0
RAI2,0.98,0.729,0.995,0.959,1.0
ENO2,0.98,1.0,1.0,0.992,1.0
ARHGEF38,0.88,0.224,0.803,0.689,0.934
SYT5,0.18,0.056,0.157,0.221,0.047
SEPT7,1.0,1.0,1.0,1.0,1.0
ZNF32,1.0,1.0,1.0,1.0,1.0
SLC2A10,1.0,0.953,1.0,0.992,1.0
PARD6B,0.88,0.907,1.0,1.0,1.0
KIAA2013,1.0,1.0,1.0,1.0,1.0
TCP11,0.04,0.103,0.01,0.008,0.028
ALG11,1.0,0.963,1.0,0.992,1.0
FRMD1,0.0,0.0,0.0,0.0,0.019
TRPC6,0.24,0.187,0.364,0.213,0.538
GJA3,0.0,0.0,0.015,0.008,0.0
KIAA0753,1.0,1.0,1.0,1.0,1.0
ZNF135,0.74,0.85,0.864,0.779,0.953
PXMP2,1.0,1.0,1.0,1.0,1.0
DNAH7,0.2,0.028,0.505,0.287,0.491
SMCO1,0.0,0.009,0.0,0.0,0.0
LRFN3,1.0,1.0,0.99,1.0,1.0
GLP1R,0.0,0.159,0.015,0.033,0.0
ZPR1,1.0,1.0,1.0,1.0,1.0
LCN12,0.2,0.178,0.601,0.525,0.66
NOL3,1.0,1.0,1.0,1.0,1.0
PTPRO,0.7,0.561,0.631,0.697,0.585
ALOX5AP,1.0,1.0,1.0,1.0,1.0
HIST3H2BB,0.38,0.224,0.359,0.5,0.217
HMGCL,1.0,1.0,1.0,1.0,1.0
TRIM72,0.0,0.0,0.086,0.09,0.113
ESCO1,1.0,1.0,1.0,1.0,1.0
USP17L2,0.0,0.0,0.0,0.0,0.009
SPATA31A6,0.0,0.0,0.0,0.0,0.0
TIAM2,0.98,1.0,1.0,0.992,1.0
OR8I2,0.0,0.0,0.0,0.0,0.0
CSF1,1.0,1.0,1.0,1.0,1.0
MFSD12,1.0,1.0,1.0,1.0,1.0
SEC24D,1.0,1.0,1.0,1.0,1.0
SPAG16,0.98,0.991,0.995,0.959,1.0
RAI14,1.0,1.0,1.0,1.0,1.0
PCDH20,0.08,0.009,0.101,0.205,0.17
PTGER3,0.74,0.598,0.97,0.885,0.991
MYO1D,1.0,0.991,1.0,1.0,1.0
ZNF564,1.0,0.972,1.0,1.0,1.0
LCMT2,1.0,0.981,1.0,1.0,1.0
SHROOM3,1.0,1.0,1.0,1.0,1.0
MSL1,1.0,1.0,1.0,1.0,1.0
F11,0.0,0.0,0.0,0.0,0.0
HK1,1.0,1.0,1.0,1.0,1.0
CDC42SE2,1.0,1.0,1.0,1.0,1.0
AARD,0.74,0.972,0.97,0.869,0.962
VARS2,1.0,1.0,1.0,1.0,1.0
GNA12,1.0,1.0,1.0,1.0,1.0
MAGEB2,0.1,0.019,0.025,0.025,0.0
OR10A2,0.0,0.0,0.0,0.0,0.0
DPCD,1.0,1.0,1.0,1.0,1.0
ATP1A1,1.0,1.0,1.0,1.0,1.0
CCDC61,1.0,1.0,1.0,1.0,1.0
DHRS4L2,1.0,1.0,1.0,1.0,1.0
RHBDF2,1.0,1.0,1.0,1.0,1.0
ACADSB,1.0,0.944,1.0,1.0,1.0
HLA-A,1.0,1.0,1.0,1.0,1.0
HOXD12,0.0,0.0,0.0,0.0,0.0
FASTK,1.0,1.0,1.0,1.0,1.0
CCDC126,1.0,1.0,1.0,1.0,1.0
DARS2,1.0,1.0,1.0,1.0,1.0
ESCO2,0.9,0.869,0.783,0.951,0.67
ATF7IP2,0.92,0.869,0.934,0.893,0.972
SLC27A4,1.0,1.0,1.0,1.0,1.0
KCNB2,0.0,0.112,0.0,0.008,0.0
ZNF333,1.0,1.0,1.0,1.0,1.0
VPS9D1,1.0,1.0,0.995,0.992,1.0
BBOF1,1.0,0.981,1.0,1.0,1.0
C5orf24,1.0,1.0,1.0,1.0,1.0
OR2T5,0.0,0.0,0.0,0.0,0.0
TAF8,1.0,1.0,1.0,1.0,1.0
TMEM179B,1.0,1.0,1.0,1.0,1.0
MYOG,0.0,0.0,0.005,0.008,0.009
ZNF174,1.0,0.991,1.0,1.0,1.0
NKX1-2,0.12,0.477,0.0,0.016,0.0
RTCA,1.0,1.0,1.0,1.0,1.0
NAIP,0.98,0.972,1.0,1.0,1.0
KIAA1217,1.0,1.0,1.0,1.0,1.0
SLC10A3,1.0,1.0,1.0,1.0,1.0
PRR23D1,0.0,0.0,0.0,0.0,0.0
GSTM3,1.0,1.0,1.0,1.0,1.0
PHOSPHO2,0.98,0.888,1.0,1.0,1.0
GGTLC1,0.0,0.0,0.0,0.0,0.0
ARMC10,1.0,1.0,1.0,1.0,1.0
WDCP,1.0,1.0,1.0,1.0,1.0
DRAP1,1.0,1.0,1.0,1.0,1.0
NTRK2,0.54,0.729,0.944,0.639,1.0
PZP,0.0,0.037,0.005,0.008,0.009
SEPT8,1.0,1.0,1.0,1.0,1.0
ZC3H13,1.0,1.0,1.0,1.0,1.0
SAMD11,0.86,0.262,0.646,0.59,0.83
LRFN4,0.96,1.0,0.99,1.0,0.972
SLK,1.0,1.0,1.0,1.0,1.0
PTAFR,1.0,0.907,0.97,0.885,0.981
C1orf115,1.0,0.935,0.995,0.984,1.0
TMCC2,0.12,0.869,0.081,0.082,0.085
SBK2,0.02,0.0,0.03,0.074,0.0
GOLGA2,1.0,1.0,1.0,1.0,1.0
SUPT16H,1.0,1.0,1.0,1.0,1.0
NRP2,1.0,0.991,1.0,1.0,1.0
ZNF652,1.0,1.0,1.0,1.0,1.0
DRC3,0.76,0.374,0.96,0.918,0.981
TRIM26,1.0,1.0,1.0,1.0,1.0
HMGCLL1,0.04,0.168,0.237,0.213,0.208
LGALS7B,0.54,0.636,0.561,0.189,0.642
CDC42EP3,0.98,1.0,1.0,0.992,1.0
GJA5,0.98,0.953,0.995,0.959,1.0
PCSK4,0.64,0.196,0.884,0.721,0.925
LRRN1,0.6,0.776,0.848,0.549,0.943
BEND3,0.76,0.963,0.444,0.721,0.472
ARFGAP3,1.0,1.0,1.0,1.0,1.0
PRM3,0.0,0.0,0.0,0.0,0.0
XIRP1,0.3,0.29,0.056,0.115,0.047
KRT76,0.0,0.0,0.0,0.0,0.0
BRAP,1.0,1.0,1.0,1.0,1.0
MSH5,0.98,0.991,0.985,1.0,1.0
ALDH5A1,0.96,0.953,0.955,0.943,0.991
ERICH6,0.0,0.0,0.0,0.0,0.0
HEYL,0.98,0.916,0.985,0.943,0.991
ADAM9,1.0,1.0,1.0,1.0,1.0
VCPKMT,1.0,1.0,1.0,1.0,1.0
CCND3,1.0,1.0,1.0,1.0,1.0
CHST15,1.0,0.972,1.0,1.0,1.0
ISPD,0.2,0.234,0.222,0.139,0.066
OR13C5,0.0,0.0,0.0,0.0,0.0
NOX3,0.0,0.0,0.0,0.0,0.0
KLRC2,0.04,0.112,0.106,0.148,0.009
SGCD,0.72,0.533,0.924,0.779,0.934
CBX4,1.0,1.0,1.0,1.0,1.0
RGS13,0.04,0.056,0.076,0.033,0.198
FRMD5,0.04,0.187,0.071,0.033,0.0
PODNL1,0.98,0.963,0.985,0.934,1.0
SOS2,1.0,0.991,1.0,1.0,1.0
SECTM1,0.98,1.0,0.995,1.0,0.991
MAD1L1,1.0,1.0,1.0,1.0,1.0
TEX26,0.02,0.0,0.0,0.0,0.0
NDUFA5,1.0,1.0,1.0,1.0,1.0
KRTAP1-3,0.0,0.0,0.0,0.0,0.0
SEC61B,1.0,1.0,1.0,1.0,1.0
BZW2,1.0,1.0,1.0,1.0,1.0
OOSP2,0.0,0.0,0.0,0.0,0.009
CKAP2,1.0,1.0,1.0,1.0,1.0
NDUFB2,1.0,1.0,1.0,1.0,1.0
SH3GLB2,1.0,1.0,1.0,1.0,1.0
RPGRIP1,0.06,0.084,0.04,0.082,0.057
NT5C3A,1.0,1.0,1.0,1.0,1.0
SLC44A2,1.0,1.0,1.0,1.0,1.0
DTWD2,0.94,0.551,0.98,0.959,0.962
INPP4B,0.98,0.533,1.0,1.0,1.0
KLRC1,0.14,0.224,0.051,0.074,0.019
GLTSCR2,1.0,1.0,1.0,1.0,1.0
ZSWIM2,0.0,0.0,0.0,0.0,0.0
FADD,1.0,1.0,1.0,1.0,1.0
KRT74,0.0,0.0,0.0,0.0,0.0
TSSK2,0.0,0.0,0.0,0.0,0.0
CPSF3,1.0,1.0,1.0,1.0,1.0
PARD3,1.0,1.0,1.0,0.992,1.0
MRPL37,1.0,1.0,1.0,1.0,1.0
SF3A3,1.0,1.0,1.0,1.0,1.0
SRGAP2C,0.94,0.972,0.99,0.959,0.981
RBMX2,1.0,1.0,1.0,1.0,1.0
DDX60,0.98,0.991,1.0,1.0,1.0
LRRC3C,0.02,0.0,0.005,0.016,0.0
FCRL3,0.24,0.224,0.116,0.066,0.17
ZNF365,0.26,0.196,0.611,0.451,0.358
IL17F,0.0,0.0,0.0,0.0,0.0
EZH1,1.0,1.0,1.0,1.0,1.0
OCEL1,1.0,0.991,1.0,1.0,1.0
MOCS3,1.0,0.981,0.995,1.0,1.0
PIK3R6,0.12,0.206,0.116,0.098,0.358
OR14J1,0.0,0.0,0.0,0.0,0.0
TBCEL,1.0,1.0,1.0,0.992,1.0
BMP2,0.02,0.355,0.04,0.008,0.142
TUBB8,0.08,0.056,0.051,0.074,0.17
GPHN,0.98,0.991,1.0,1.0,1.0
TM9SF1,1.0,1.0,1.0,1.0,1.0
FAM65B,0.72,0.617,0.586,0.541,0.764
WTAP,1.0,1.0,1.0,1.0,1.0
ZDHHC19,0.0,0.028,0.0,0.008,0.009
DNAAF2,1.0,1.0,1.0,1.0,1.0
MPP5,1.0,0.991,1.0,1.0,1.0
CFAP126,0.36,0.103,0.551,0.508,0.613
C17orf53,0.96,0.963,0.732,0.959,0.764
CCR2,0.76,0.654,0.53,0.533,0.755
PAF1,1.0,1.0,1.0,1.0,1.0
NPAS2,1.0,0.981,0.995,0.934,0.991
NEIL2,1.0,1.0,1.0,1.0,1.0
SERPINB10,0.0,0.019,0.005,0.0,0.009
CXCL1,0.36,0.776,0.197,0.033,0.283
ZBTB26,0.98,0.944,0.995,0.984,1.0
SIGLECL1,0.0,0.0,0.0,0.0,0.0
REG1A,0.0,0.028,0.0,0.008,0.0
BNIP3L,1.0,1.0,1.0,1.0,1.0
TSHZ1,1.0,0.991,1.0,1.0,1.0
DERL1,1.0,1.0,1.0,1.0,1.0
ZNF519,0.72,0.897,0.833,0.861,0.906
GINM1,1.0,1.0,1.0,1.0,1.0
SNRNP48,1.0,1.0,1.0,1.0,1.0
C2orf68,1.0,1.0,1.0,1.0,1.0
TULP1,0.0,0.0,0.0,0.0,0.0
SMIM9,0.0,0.0,0.0,0.0,0.0
YPEL1,0.82,0.804,0.803,0.762,0.925
PCSK1,0.06,0.056,0.091,0.107,0.019
USP4,1.0,1.0,1.0,1.0,1.0
CLDN1,0.84,0.944,0.965,0.73,0.962
ZNF730,0.24,0.196,0.121,0.27,0.057
LPCAT1,1.0,1.0,1.0,1.0,1.0
RNF150,0.12,0.729,0.303,0.156,0.528
SEMA3C,1.0,0.953,1.0,1.0,1.0
TNFSF12,1.0,1.0,1.0,1.0,1.0
DND1,0.0,0.0,0.0,0.0,0.0
EPS8,1.0,1.0,1.0,1.0,1.0
CD207,0.18,0.514,0.419,0.205,0.33
HLA-DRA,1.0,1.0,1.0,1.0,1.0
GLRA1,0.0,0.0,0.0,0.0,0.0
KRTAP5-7,0.0,0.009,0.0,0.0,0.0
CST11,0.0,0.0,0.025,0.041,0.0
NARS2,1.0,1.0,1.0,1.0,1.0
PPIC,1.0,1.0,1.0,1.0,1.0
ZNF286A,0.98,1.0,1.0,0.984,1.0
SLC25A2,0.0,0.0,0.0,0.0,0.0
CP,0.82,0.935,0.788,0.664,0.896
SLC22A13,0.0,0.0,0.0,0.0,0.0
AK7,0.3,0.065,0.414,0.361,0.283
MAGEL2,0.0,0.0,0.02,0.008,0.0
C15orf40,1.0,1.0,1.0,1.0,1.0
ELP4,1.0,1.0,1.0,1.0,1.0
FOLR1,0.46,0.897,0.576,0.344,0.717
BET1,1.0,1.0,1.0,1.0,1.0
MSH6,1.0,1.0,1.0,1.0,1.0
PRAMEF27,0.0,0.0,0.0,0.0,0.0
OR1L8,0.0,0.0,0.0,0.0,0.0
SLC41A1,0.98,1.0,1.0,0.984,1.0
